618;Thommy Berggren
619;Pia Degermark
620;Bo Widerberg
621;Carl Weathers
622;Cassandra Delaney
623;Colin Budds
624;Peter Ford
625;Mylene Demongeot
626;Tom Cruise
627;Rebecca DeMornay
628;Paul Brickman
629;Catherine Deneuve
630;Claude Berri
631;Elie Chouraqui
632;Alain Comeau
633;Alan Corneau
634;Dick Richards
635;Elizabeth Depardieu
636;Laura Dern
637;Rosana DeSoto
638;Edward James Olmos
639;Ramon Menendez
640;Albert Finney
641;Susan Dey
642;Charles Haid
643;Angie Dickinson
644;Jerry Jameson
645;Marlene Dietrich
646;Tay Garnett
647;Spencer Tracy
648;Stanley Kramer
649;Rip Taylor
650;Phyllis Diller
651;Omar Sharif
652;Arielle Dombasle
653;Bruno Ganz
654;Solveig Dommartin
655;Amanda Donohoe
656;Nicolas Roeg
657;Diana Dors
658;Pascal Benezech
659;Marie-Laure Dougnac
660;Marc Caro
661;Lesley-Anne Down
662;Peter Hyams
663;Michael Tuchner
664;Henry Fonda
665;Cathy Downs
666;Ben Johnson
667;Joanne Dru
668;Harold Hopkins
669;Jeanie Drynan
670;John Meagher
671;Donald Grant
672;Denise DuBarry
673;Bob Dahlin
674;Abba Eban
675;Faye Dunaway
676;Amos Kollek
677;Robert Redford
678;Sydney Pollack
679;Joe Mantegna
680;William Powell
681;Irene Dunne
682;Michael Curtiz
683;Anny Duperey
684;Alain Resnais
685;Shelley Duvall
686;Stanley Kubrick
687;Ann Dvorak
688;Joseph Kane
689;Shirley Eaton
690;Samantha Eggar
691;Lisa Eilbacher
692;Martin Brest
693;Robert Urich
694;James Quinn
695;Anita Ekberg
696;Britt Ekland
697;Vittorio De Sica
698;Miguel Hermoso
699;Robert Parrish
700;Tex Beneke
701;Les Elgart
702;Michael Ironside
703;Krista Errickson
704;Charles Laulette
705;Kim Evenson
706;Robert Allen Schnitzer
707;John Dye
708;Morgan Fairchild
709;Ron Casden
710;Felicia Farr
711;Delmer Daves
712;Mia Farrow
713;Jason Robards
714;Jan Troell
715;Michael Nouri
716;Farrah Fawcett
717;John Avnet
718;Hal Needham
719;Eddie Nugent
720;Louise Fazenda
721;Lewis D. Collins
722;Joseph Bottoms
723;Tovah Feldshuh
724;Marvin J. Chomsky
725;Malcolm Jamieson
726;Sherilyn Fenn
727;Charles Band
728;Forest Whitaker
729;Roy London
730;Rebecca Ferratti
731;Fritz Kiersch
732;Sally Field
733;Jerry Belson
734;Ed Harris
735;Alfred Molina
736;Brian Gilbert
737;Henry Winkler
738;Beau Bridges
739;Tom Skerritt
740;Herbert Ross
741;Tom Hanks
742;Carrie Fisher
743;Mark Hamill
744;George Lucas
745;Richard Marquand
746;Adrian Dunbar
747;Tara Fitzgerald
748;Peter Chelsom
749;John Payne
750;Rhonda Fleming
751;Allan Dwan
752;John Sturges
753;Susan Fleming
754;Ross Lederman
755;Jake Dengel
756;Suzanne Fletcher
757;Alan Smithey
758;Peter Gonzales
759;Fiona Florence
760;Jane Fonda
761;James Bridges
762;Lee Marvin
763;Elliot Silverstein
764;Jon Voight
765;Laurence Olivier
766;Joan Fontaine
767;Robert Stevenson
768;Anne Randall
769;Anitra Ford
