id;year;title;subject;popularity;awards
215;1988;Golden Ninja Invasion;ACTION;13;False
216;1973;Exorcist, The;HORROR;28;True
217;1975;Alice Doesn't Live Here Anymore;COMEDY;82;True
218;1982;Eyes of the Amaryllis, The;DRAMA;70;False
219;1952;What Price Glory?;WAR;4;False
220;1954;Inauguration of the Pleasure Dome;SHORT;62;False
221;1989;School Daze;COMEDY;18;False
222;1990;End of Innocence, The;DRAMA;6;False
223;1971;Anderson Tapes, The;MYSTERY;1;False
224;1983;Father Murphy, A Horse from Heaven;COMEDY;28;False
225;1989;Skull;DRAMA;19;False
226;1987;Quick & The Dead, The;WESTERN;40;False
227;1984;Best Defense;COMEDY;75;False
228;1984;Dreamscape;SCIENCE FICTION;63;False
229;1989;Black Rain;ACTION;73;False
230;1963;8 1/2;DRAMA;80;True
231;1935;One Frightened Night;HORROR;33;False
232;1988;Year My Voice Broke, The;DRAMA;71;False
233;1966;Is Paris Burning?;WAR;63;False
234;1974;QB VII;DRAMA;28;True
235;1977;Island of Dr. Moreau, The;HORROR;54;False
236;1983;Beyond the Limit;DRAMA;51;False
237;1936;Secret Agent;MYSTERY;50;False
238;1986;Paramount Comedy Theater: Well-Developed;COMEDY;40;False
239;1972;Big Bust Out, The;ACTION;50;False
240;1987;Fourth Protocol, The;MYSTERY;14;False
241;1990;Gremlins 2: The New Batch;COMEDY;61;False
242;1982;Fast Times at Ridgemont High;COMEDY;65;False
243;1987;Mannequin;COMEDY;23;False
244;1977;Rabid;HORROR;34;False
245;1990;Party, The;COMEDY;32;False
246;1989;Vampire Raiders, Ninja Queen;ACTION;15;False
247;1970;Bloopers from Star Trek;COMEDY;22;False
248;1943;Destroyer;ACTION;87;False
249;1992;Party Girl;COMEDY;85;False
250;1989;Twin Peaks;MYSTERY;86;False
251;1987;Moonstruck;COMEDY;6;True
252;1987;Witches of Eastwick, The;COMEDY;8;False
253;1979;Moonraker;ACTION;32;False
254;1984;Beat Street;DRAMA;72;False
255;1986;Running Out of Luck;COMEDY;16;False
256;1989;Never on Tuesday;DRAMA;77;False
257;1975;Shampoo;COMEDY;69;True
258;1985;Power;DRAMA;43;False
259;1965;Darling;DRAMA;44;True
260;1963;Ugly American, The;DRAMA;63;False
261;1931;Ambassador Bill;COMEDY;66;False
262;1931;Big Trail, The;WESTERN;22;False
263;1967;Hombre;WESTERN;50;False
264;1968;Coogan's Bluff;ACTION;57;False
265;1989;Penn & Teller Get Killed;COMEDY;12;False
266;1987;Shy People;DRAMA;7;False
267;1980;It's My Turn;COMEDY;0;False
268;1988;Dangerous Liaisons;DRAMA;77;False
269;1990;Reversal of Fortune;DRAMA;73;True
270;1991;Meeting Venus;COMEDY;74;False
271;1946;Tomorrow Is Forever;DRAMA;65;False
272;1987;Like Father Like Son;COMEDY;20;False
273;1948;Rope;DRAMA;39;False
274;1962;Road to Hong Kong;COMEDY;37;False
275;1989;Shirley Valentine;COMEDY;51;False
276;1992;City of Joy;DRAMA;87;False
277;1966;Appaloosa, The;WESTERN;15;False
278;1986;Seven Minutes in Heaven;COMEDY;49;False
279;1991;Hearts of Darkness, A Filmmaker's Apocalypse;DRAMA;72;False
280;1961;Tonight for Sure;COMEDY;4;False
281;1990;White Hunter, Black Heart;ADVENTURE;66;False
282;1962;Sundays & Cybele;DRAMA;11;True
283;1989;Puppet Master;SCIENCE FICTION;20;False
284;1991;Night Gallery;HORROR;31;False
285;1989;Pet Sematary;HORROR;27;False
286;1992;America's Music, Gospel;MUSIC;13;False
287;1977;Slap Shot;COMEDY;82;False
288;1987;O. C. & Stiggs;COMEDY;3;False
289;1988;A Fish Called Wanda;COMEDY;7;True
290;1954;A Lesson in Love;COMEDY;48;False
291;1957;Brink of Life;DRAMA;57;False
292;1986;Betty Blue;DRAMA;71;False
293;1979;Hair;MUSIC;67;False
294;1989;National Lampoon's Christmas Vacation;COMEDY;81;False
295;1974;Dersu Uzala, (The Hunter);ADVENTURE;81;True
296;1990;Alice;COMEDY;22;False
297;1980;Fifth Floor, The;MYSTERY;74;False
298;1990;Snow Kill;DRAMA;35;False
299;1971;People, The;DRAMA;36;False
300;1969;True Grit;WESTERN;77;True
301;1942;Battle of Midway, The;WAR;75;False
302;1948;Three Godfathers;WESTERN;72;False
303;1965;Hush, Hush, Sweet Charlotte;MYSTERY;68;False
304;1946;A Stolen Life;DRAMA;20;False
305;1939;Old Maid, The;DRAMA;18;False
306;1950;All about Eve;DRAMA;23;True
307;1986;Fly, The;HORROR;33;False
308;1990;Quick Change;COMEDY;24;False
309;1988;Lair of the White Worm, The;HORROR;16;False
310;1989;Rainbow, The;DRAMA;53;False
311;1956;Man Who Knew Too Much, The;MYSTERY;15;False
312;1992;Beauty & the Beast;SCIENCE FICTION;14;False
313;1940;Foreign Correspondent;MYSTERY;61;False
314;1949;Heiress, The;DRAMA;81;True
315;1986;Boy Who Could Fly, The;DRAMA;25;False
316;1975;Terrorists, The;ACTION;4;False
317;1942;Wheel of Fortune;DRAMA;36;False
318;1989;Do the Right Thing;DRAMA;5;False
319;1990;Court-Martial of Jackie Robinson, The;DRAMA;33;False
320;1967;Elvira Madigan;DRAMA;28;False
321;1992;Hurricane Smith;ACTION;16;False
322;1987;Fair Game;ACTION;24;False
323;1989;Rape of the Sabines, The;ACTION;83;False
324;1983;Risky Business;COMEDY;28;False
325;1980;I Love All of You (Je Vous Aime);DRAMA;40;False
326;1986;Love Songs;DRAMA;15;False
327;1983;Le Choix des Armes;MYSTERY;15;False
328;1981;Choice of Arms;ACTION;87;False
329;1977;March or Die;WAR;59;False
330;1980;Last Metro, The;DRAMA;66;False
331;1986;Jean de Florette;DRAMA;87;True
332;1989;Fat Man & Little Boy;DRAMA;86;False
333;1990;Wild at Heart;DRAMA;6;False
334;1989;Family Business;ACTION;5;False
335;1988;Stand & Deliver;DRAMA;19;False
336;1981;Looker;SCIENCE FICTION;62;False
337;1989;Fire & Rain;ACTION;10;False
338;1990;Best of Candid Camera, The;COMEDY;12;False
339;1940;Seven Sinners;DRAMA;24;False
340;1961;Judgment at Nuremberg;DRAMA;39;True
341;1989;Minsky's Follies;COMEDY;12;False
342;1990;Novice, The;COMEDY;72;False
343;1987;Wings of Desire;DRAMA;71;False
344;1991;Until the End of the World;DRAMA;57;False
345;1987;Castaway;DRAMA;41;False
346;1993;Alfred Hitchcock Presents, Sorcerer's Apprentice;MYSTERY;60;False
347;1991;Delicatessen;COMEDY;78;False
348;1979;Great Train Robbery, The;MYSTERY;7;False
349;1991;Hanover Street;DRAMA;81;False
350;1991;Hunchback;DRAMA;33;False
351;1946;My Darling Clementine;WESTERN;12;False
352;1950;Wagon Master;WESTERN;30;False
353;1949;She Wore a Yellow Ribbon;WESTERN;84;False
354;1985;Fantasy Man;COMEDY;82;False
355;1986;Monster in the Closet;COMEDY;39;False
356;1992;Double Edge;DRAMA;69;False
357;1976;Network;COMEDY;48;True
358;1974;Chinatown;DRAMA;55;True
359;1975;Three Days of the Condor;DRAMA;87;False
360;1977;Voyage of the Damned;DRAMA;34;False
361;1987;Barfly;DRAMA;23;False
362;1990;Wait Until Spring, Bandini;DRAMA;20;False
363;1947;Life with Father;COMEDY;10;False
364;1943;A Guy Named Joe;DRAMA;42;False
365;1974;Stavisky;DRAMA;1;False
366;1981;Time Bandits;COMEDY;5;False
367;1980;Shining, The;HORROR;32;False
368;1945;Flame of Barbary Coast;WESTERN;54;False
369;1993;Naked Truth, The;COMEDY;34;False
370;1979;Brood, The;HORROR;51;False
371;1970;Molly Maguires, The;ACTION;3;False
372;1984;Beverly Hills Cop;COMEDY;41;False
373;1991;Blind Man's Bluff;MYSTERY;64;False
374;1961;La Dolce Vita;DRAMA;20;False
375;1966;After the Fox;COMEDY;60;False
376;1974;Man with the Golden Gun, The;ACTION;41;False
377;1985;Marbella;ACTION;45;False
378;1967;Bobo, The;COMEDY;80;False
379;1993;Big Bands, The;MUSIC;48;False
380;1992;Killer Image.;MYSTERY;8;False
381;1987;Kandyland;DRAMA;41;False
382;1987;Campus Man;DRAMA;38;False
383;1956;Jubal;DRAMA;32;False
384;1985;Purple Rose of Cairo, The;COMEDY;20;True
385;1984;Broadway Danny Rose;COMEDY;14;False
386;1992;Husbands & Wives;COMEDY;80;False
387;1986;Hannah & Her Sisters;COMEDY;8;True
388;1979;Hurricane;ACTION;8;False
389;1986;Between Two Women;DRAMA;52;False
390;1981;Cannonball Run, The;COMEDY;80;False
391;1936;Doughnuts & Society;COMEDY;28;False
392;1978;Holocaust;DRAMA;1;False
393;1990;Meridian;SCIENCE FICTION;47;False
394;1992;Diary of a Hitman;DRAMA;67;False
395;1988;Gor;ACTION;2;False
396;1987;Surrender;COMEDY;84;False
397;1984;Places in the Heart;DRAMA;83;True
398;1991;Not Without My Daughter;DRAMA;55;False
399;1977;Heroes;DRAMA;17;False
400;1981;Absence of Malice;DRAMA;76;False
401;1979;Norma Rae;DRAMA;64;True
402;1989;Steel Magnolias;DRAMA;66;False
403;1989;Burbs, The;COMEDY;42;False
404;1980;Empire Strikes Back, The;SCIENCE FICTION;33;False
405;1977;Star Wars;SCIENCE FICTION;44;False
406;1983;Return of the Jedi;SCIENCE FICTION;4;False
407;1991;Hear My Song;DRAMA;72;False
408;1956;Slightly Scarlet;ACTION;52;False
409;1957;Gunfight at the OK Corral;WESTERN;84;False
410;1931;Range Feud, The;WESTERN;51;False
411;1990;Bloodsucking Pharaohs in Pittsburgh;COMEDY;79;False
412;1972;Roma;DRAMA;75;False
413;1979;China Syndrome, The;DRAMA;43;False
414;1986;Morning After, The;MYSTERY;6;False
415;1971;Klute;DRAMA;15;True
416;1979;Electric Horseman, The;COMEDY;34;False
417;1965;Cat Ballou;COMEDY;62;True
418;1991;Coming Home;DRAMA;1;True
419;1940;Rebecca;DRAMA;78;True
420;1944;Jane Eyre;DRAMA;44;False
421;1973;Stacey!;ACTION;31;False
422;1992;Naked Obsession;MYSTERY;26;False
423;1989;Stripped to Kill II, Live Girls;MYSTERY;80;False
424;1990;Rain Killer, The;MYSTERY;10;False
425;1983;Valley Girl;COMEDY;30;False
426;1991;Silence of the Lambs, The;MYSTERY;8;True
427;1988;Stealing Home;DRAMA;76;False
428;1972;Napoleon & Samantha;COMEDY;33;False
429;1988;Five Corners;DRAMA;88;False
430;1955;Blackboard Jungle, The;DRAMA;66;False
431;1989;My Left Foot;DRAMA;32;True
